query,matched_name,matched_status,query_match_taxon_agree,use_query_as_synonym,use_query_as_accepted,use_query_as_new,use_match_as_accepted,use_match_as_new,namePublishedIn,nameAccordingTo,taxonRemarks,notes,name_res_status,done,link
"Parapolystichum windsorensis (D.L.Jones & B.Gray) Labiak, Sundue & R.C.Moran","Parapolystichum windsorense (D. L. Jones & B. Gray) Labiak, Sundue & R. C. Moran",accepted,FALSE,0,1,0,NA,NA,Brittonia 67(1): 84. 2015[2014]. (1 October 2014) (Brittonia) ,http://www.tropicos.org/Name/100409358,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/100409358
Pecluma oranensis (de la Sota) de la Sota,Pecluma oranense (de la Sota) de la Sota,accepted,FALSE,0,1,0,NA,NA,Hickenia 2(31): 137. 1995. (Hickenia) ,http://www.tropicos.org/Name/50065161,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/50065161
Pecluma ptilodon var. robusta (Fee) Lellinger,Pecluma ptilotos var. robusta (Fée) Lellinger,synonym,FALSE,1,0,0,NA,NA,American Fern Journal 74(2): 60. 1984. (Amer. Fern J.) ,http://www.tropicos.org/Name/26608976,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26608976
Pecluma ptilotos (Kunze) M.G.Price,Pecluma ptilota (Kunze) M. G. Price,accepted,FALSE,0,1,0,NA,NA,NA,https://www.ipni.org/n/186188-2,spelling mistake in species name,NA,fuzzy,1,https://www.ipni.org/n/186188-2
Pellaea mucronata subsp. mucronata,Pellaea mucronata Fée,ambiguous synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Remove redundant name,fuzzy,1,NA
Physematium manchuriense (Hook.) Nakai,Physematium manchuriensis (Hook.) Nakai,accepted,FALSE,1,0,0,NA,NA,"Botanical Magazine, Tokyo 39(463): 176. 1925. (Bot. Mag. (Tokyo)) ",http://www.tropicos.org/Name/50071100,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/50071100
Pleopeltis crassinervata (Fee) T.Moore,Pleopeltis crassinervia (Blume) T. Moore,synonym,FALSE,0,0,0,NA,NA,NA,https://powo.science.kew.org/taxon/17178520-1,spelling mistake in species name,Add as synonym of Pleopeltis crassinervata (Fée) T. Moore,fuzzy,1,https://powo.science.kew.org/taxon/17178520-1
Pleopeltis murorum (Hook.) A.R.Sm. & Tejero,Pleopeltis murora (Hook.) A. R. Sm. & Tejero,accepted,FALSE,0,1,0,NA,NA,Botanical Sciences 92(1): 47. 2014. (3 March 2014) (Bot. Sci.) ,http://www.tropicos.org/Name/100407913,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/100407913
Pleopeltis polypodioides var. acicularis (Weath.) E.G.Andrews & Windham,Pleopeltis polypodioides var. aciculare (Weath.) E. G. Andrews & Windham,synonym,FALSE,0,1,0,NA,NA,Contributions from the University of Michigan Herbarium 19: 46. 1993. (Contr. Univ. Michigan Herb.) ,http://www.tropicos.org/Name/26617594,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26617594
Pleopeltis polypodioides var. polypodioides,Pleopeltis polypodioides (L.) Watt.,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Leave for now,fuzzy,1,NA
Polypodium wiesbaueri Sodiro,Polypodium wiesbaurii Sodiro,synonym,FALSE,0,1,0,NA,NA,Recensio Cryptogamarum Vascularium Provinciae Quitensis 65. 1883. (Recens. Crypt. Vasc. Quit.) ,http://www.tropicos.org/Name/26609608,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26609608
Polystichum erosum Ching,Polystichum grande Ching,ambiguous synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Add as synonym of Polystichum erosum Ching & K. H. Shing,fuzzy,1,NA
Polystichum lilianiae,Polystichum liui Ching,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Add as synonym of Polystichum lilianae Barrington,fuzzy,1,NA
Polystichum polyblepharum var. polyblepharum,Polystichum polyblepharum Nakai,ambiguous synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Add as autonym of Polystichum polyblepharum (Roem. ex Kunze) C. Presl,fuzzy,1,NA
Pseudocyclosorus tuberculifer (C.Chr.) Ching,Pseudocyclosorus tuberculiferus (C. Chr.) Ching,synonym,FALSE,0,1,0,NA,NA,Acta Phytotaxonomica Sinica 8(4): 324. 1963. (Acta Phytotax. Sin.) ,http://www.tropicos.org/Name/50052282,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/50052282
Pteris assamica Fraser-Jenk.,Pteris andamanica Fraser-Jenk.,accepted,FALSE,0,0,0,NA,NA,Taxonomic revision of three hundred Indian subcontinental pteridophytes with a revised census-list : a new picture of fern-taxonomy and nomenclature in the Indian subcontinent 118. 2008. (Taxon. Revis. Indian Subcontinental Pteridophytes) ,http://www.tropicos.org/Name/100356673,spelling mistake in species name; fix according to Tropicos,Add as synonym of Pteris assamica Fraser-Jenk. & T. G. Walker,fuzzy,1,http://www.tropicos.org/Name/100356673
Pteris cadieri H.Christ,Pteris radicans Christ,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Add as synonym of Pteris cadieri Christ,fuzzy,1,NA
Pteris lydgatei (Baker) H.Christ,Pteris lidgatii (Baker) Christ,accepted,FALSE,0,1,0,NA,NA,Die Farnkräuter der Erde 167. 1897. (Farnkr. Erde) ,http://www.tropicos.org/Name/100444790,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/100444790
Pteris mcclurei Ching,Pteris maclurei Ching,synonym,FALSE,0,0,0,NA,NA,Bull. Dept. Biol. Sun Yatsen Univ. 6: 28 (1933). ,https://www.ipni.org/n/17356610-1,spelling mistake in species name,Add as synonym of Pteris amoena Blume,fuzzy,1,https://www.ipni.org/n/17356610-1
Pteris ottaria Bedd.,Pteris otaria Bedd.,accepted,FALSE,1,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,1,NA
Pyrrosia martini (H.Christ) Ching,Pyrrosia martinii (Christ) Ching,synonym,FALSE,0,1,0,NA,NA,Acta Phytotaxonomica Sinica 10(4): 304. 1965. (Acta Phytotax. Sin.) ,http://www.tropicos.org/Name/26619666,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26619666
Pyrrosia matsudae (Hayata) Tagawa,Pyrrosia matsudai (Hayata) Tagawa,accepted,FALSE,1,0,0,NA,NA,Journal of Japanese Botany 24(1–12): 119–120. 1949. (J. Jap. Bot.) ,http://www.tropicos.org/Name/50051180,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/50051180
Pyrrosia nummulariifolia (Sw.) Ching,Pyrrosia nummularifolia (Sw.) Ching,accepted,FALSE,0,1,0,NA,NA,NA,https://www.ipni.org/n/17416430-1,spelling mistake in species name,NA,fuzzy,1,https://www.ipni.org/n/17416430-1
Sadleria souleytiana (Gaudich.) T.Moore,Sadleria souleyetiana (Gaudich.) T. Moore,accepted,FALSE,0,1,0,NA,NA,Index Filicum 26:. 1857. (Index Fil.) ,http://www.tropicos.org/Name/26602567,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26602567
"Selliguea albipes (C.Chr. & Ching) S.G.Lu, Hovenkamp & M.G.Gilbert","Selliguea albopes (C. Chr. & Ching) S. G. Lu, Hovenkamp & M. G. Gilbert",synonym,FALSE,0,1,0,NA,NA,Flora of China 2–3: 782. 2013. (Fl. China) ,http://www.tropicos.org/Name/100394613,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/100394613
Serpocaulon meniscifolium (Langsd. & Fisch.) A.R.Sm.,Serpocaulon menisciifolium (Langsd. & Fisch.) A. R. Sm.,accepted,FALSE,1,0,0,NA,NA,Taxon 55(4): 928. 2006. (20 Dec 2006) (Taxon) ,http://www.tropicos.org/Name/50305238,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/50305238
Sphaerostephanos arbuscula (Willd.) Holttum,Sphaerostephanos arbusculus (Willd.) Holttum,accepted,FALSE,0,1,0,NA,NA,NA,https://www.ipni.org/n/17454610-1,spelling mistake in species name,NA,fuzzy,1,https://www.ipni.org/n/17454610-1
Sphaerostephanos heterocarpus (Blume) Holttum,Sphaerostephanos heterocarpos (Blume) Holttum,accepted,FALSE,1,0,0,NA,NA,NA,https://www.ipni.org/n/17454690-1,spelling mistake in species name,NA,fuzzy,1,https://www.ipni.org/n/17454690-1
Stigmatopteris ichthiosma (Sodiro) C.Chr.,Stigmatopteris ichtiosma (Sodiro) C. Chr.,accepted,FALSE,0,1,0,NA,NA,Botanisk Tidsskrift 29: 302. 1909. (Bot. Tidsskr.) ,http://www.tropicos.org/Name/26609468,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26609468
Struthiopteris nipponica (Kunze) Nakai,Struthiopteris niponica (Kunze) Nakai,synonym,FALSE,0,1,0,NA,NA,NA,https://www.ipni.org/n/17359080-1,spelling mistake in species name,NA,fuzzy,1,https://www.ipni.org/n/17359080-1
Tapeinidium denhami (Hook.) C.Chr.,Tapeinidium denhamii (Hook.) C. Chr.,accepted,FALSE,0,1,0,NA,NA,Index Filicum 631. 1906. (Index Filic.) ,http://www.tropicos.org/Name/50181505,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/50181505
Tectaria antioquoiana (Baker) C.Chr.,Tectaria antioquiana (Baker) C. Chr.,accepted,FALSE,0,1,0,NA,NA,"Index Filicum, Supplementum Tertium 177. 1934. (Index Filic., Suppl. 3,) ",http://www.tropicos.org/Name/26612240,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26612240
Tectaria jardini (Mett.) E.D.Br.,Tectaria jardinii (Mett.) E. D. Br.,accepted,FALSE,0,1,0,NA,NA,NA,https://www.ipni.org/n/17360540-1,spelling mistake in species name,NA,fuzzy,1,https://www.ipni.org/n/17360540-1
Tectaria zeylanica (Houtt.) Sledge,Tectaria zeilanica (Houtt.) Sledge,accepted,FALSE,1,0,0,NA,NA,NA,https://www.ipni.org/n/17455910-1,spelling mistake in species name,NA,fuzzy,1,https://www.ipni.org/n/17455910-1
Terpsichore aspleniifolia (L.) A.R.Sm.,Terpsichore asplenifolia (L.) A. R. Sm.,accepted,FALSE,1,0,0,NA,NA,"Novon 3(4): 485, 479. 1993. (Novon) ",http://www.tropicos.org/Name/26617203,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26617203
Acystopteris taiwaniana (Tagawa) A.Love & D.Love,Acystopteris taiwaniana (Tagawa) Á. & D. Löve,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Adenophorus sarmentosus (Brack.) K.Wilson,Adenophorus sarmentosus (Brack.) K. A. Wilson,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Adiantopsis trifurcata (Baker) M.A.Link-Perez & Hickey,Adiantopsis trifurcata (Baker) Link-Pérez & Hickey,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Adiantum anceps Maxon & C.V.Morton,Adiantum anceps Maxon & Morton,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Adiantum calcareum Gardner,Adiantum calcareum Gaertn.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Adiantum fulvum M.Raoul,Adiantum fulvum Raoul,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Adiantum henslovianum Hook.f.,Adiantum henslovianum Hook. fil.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Adiantum induratum H.Christ,Adiantum induratum Christ,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Adiantum jordanii Muell.Hal.,Adiantum jordanii Müll. Hal.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Adiantum leveillei H.Christ,Adiantum leveillei Christ,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Adiantum madagascariense H.Rosend.,Adiantum madagascariense Rosend.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Adiantum malesianum J.Ghatak,Adiantum malesianum Ghatak,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Adiantum reniforme var. sinense Y.X.Ling,Adiantum reniforme var. sinense Y. X. Lin,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Adiantum silvaticum Tindale,Adiantum silvaticum Tind.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Adiantum tracyi C.C.Hall ex W.H.Wagner,Adiantum ×  tracyi C. C. Hall ex Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Adiantum viridimontanum C.A.Paris,Adiantum viridimontanum Paris,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Aglaomorpha hieronymi (Brause) Coepl.,Aglaomorpha hieronymi (Brause) Copel.,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Aglaomorpha parkinsonii (Baker) Parros & M.C.Roos,Aglaomorpha parkinsonii (Baker) Parris & M. C. Roos,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Alsophila colensoi Hook.f.,Alsophila colensoi Hook. fil.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Alsophila imrayana (Hook.) D.S.Conant,Alsophila imrayana (Hook.) Conant,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Alsophila marcescens (N.A.Wakef.) R.M.Tryon,Alsophila ×  marcescens (N. A. Wakef.) R. M. Tryon,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
"Alsophila orientalis (Kunze) R.M.Tryon, q1970",Alsophila orientalis (Kunze) R. M. Tryon,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Amauropelta cheilanthoides (Kunze) A.Love & D.Love,Amauropelta cheilanthoides (Kunze) Á. & D. Löve,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Amauropelta pilosula (Klotzsch & H.Karst. ex Mett.) Á.Löve & D.Löve,Amauropelta pilosula (Klotzsch & H. Karst. ex Mett.) Á. & D. Löve,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Anemia collina Sm.,Anemia collina Raddi,accepted,TRUE,1,0,0,NA,NA,NA,https://www.ipni.org/n/17020260-1,author variant,NA,fuzzy,1,https://www.ipni.org/n/17020260-1
Anemia imbricata J.W.Sturm,Anemia imbricata Sturm,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Anemia salvadorensis Mickel & R.L.Seiler,Anemia salvadorensis Mickel & Seiler,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Angiopteris rapensis E.Brown,Angiopteris rapensis E. D. Br.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
"Anisocampium niponicum (Mett.) Y.C.Liu, W.L.Chiou & M.Kato","Anisocampium niponicum (Mett.) Yea C. Liu, W. L. Chiou & M. Kato",accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Arachniodes yasu-inouei Sa.Kurata,Arachniodes yasu-inouei Kurata,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Ascogrammitis clavigera A.R.Sm. & Sundue,Ascogrammitis clavigera A. R. Sm. ex Sundue,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Asplenium antrophyoides H.Christ,Asplenium antrophyoides Christ,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Asplenium celtibericum Rivas Mart.,Asplenium ×  celtibericum Rivas Mart.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Asplenium cuneatiforme H.Christ,Asplenium cuneatiforme Christ,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Asplenium cymbifolium H.Christ,Asplenium cymbifolium Christ,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Asplenium heteroresiliens W.H.Wagner,Asplenium ×  heteroresiliens W. H. Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Asplenium hookerianum Col.,Asplenium hookerianum Wall.,ambiguous synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Asplenium interjectum H.Christ,Asplenium interjectum Christ,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Asplenium komarovii Akas.,Asplenium komarovii Akasawa,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Asplenium milnei Carriere,Asplenium milnei Carruth.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Asplenium minutifolium Kanemitsu & Tagane,Asplenium minutifolium Kanem. & Tagane,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
"Asplenium pifongiae L.-Y. Kuo, F.W.Li & Y.H.Chang","Asplenium pifongiae L. Y. Kuo, Fay W. Li & Y. H. Chang",accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Asplenium pulcherrimum (Baker) Ching ex Tardieu,Asplenium pulcherrimum (Baker) Ching apud Tardieu,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Asplenium quaylei E.Brown,Asplenium quaylei E. D. Br.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Asplenium ruprechtii Sa.Kurata,Asplenium ruprechtii Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Asplenium scolopendropsis J.Sm.,Asplenium scolopendropsis F. Muell.,synonym,TRUE,1,0,0,NA,NA,NA,https://www.ipni.org/n/17051190-1,author variant,"can't find ""J. Sm""",fuzzy,1,https://www.ipni.org/n/17051190-1
Asplenium seelosii Leybold,Asplenium seelosii Leyb.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Asplenium simii A.F.Braithw. & Schelpe,Asplenium simii Braithw. & Schelpe,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
"Asplenium subglandulosum subsp. hispanicum (Coss.) Salvo, Prada & Diaz","Asplenium subglandulosum subsp. hispanicum (Coss.) Salvo, Prada & T. E. Díaz",synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Asplenium wrightioides H.Christ,Asplenium wrightioides Christ,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Astrolepis deltoidea (Baker) J.Beck & Windham,Astrolepis deltoidea (Baker) J. B. Beck & Windham,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Athyrium asplenioides (Michx.) Eaton,Athyrium asplenioides (Michx.) Desv.,accepted,TRUE,1,0,0,NA,NA,NA,https://www.ipni.org/n/17054310-1,author variant,"can't find ""Eaton""",fuzzy,1,https://www.ipni.org/n/17054310-1
Athyrium biserrulatum H.Christ,Athyrium biserrulatum Christ,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Athyrium kenzo-satakei Sa. Kurata,Athyrium kenzo-satakei Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Athyrium newtonii Baker,Athyrium newtonii (Baker) Diels,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Athyrium oblitescens Sa.Kurata,Athyrium oblitescens Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Athyrium pectinatum (Wall. ex Mett.) T.Moore,Athyrium pectinatum (Wall. ex Mett.) Bedd.,ambiguous synonym,TRUE,1,0,0,NA,NA,NA,https://www.ipni.org/n/17055980-1,author variant,IPNI says isonym of Athyrium pectinatum (Wall. ex Mett.) Bedd.,fuzzy,1,https://www.ipni.org/n/17055980-1
Athyrium setuligerum Sa.Kurata,Athyrium setuligerum Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Athyrium spinescens Sa.Kurata,Athyrium spinescens Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Athyrium viridescentipes Sa.Kurata,Athyrium viridescentipes Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Blechnum vieillardii var. simplex Fourn.,Blechnum vieillardii var. simplex E. Fourn.,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Bolbitis angustipinna (Hayata) H.Ito,Bolbitis angustipinna (Hayata) Itô,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Botrychium acuminatum W.H.Wagner,Botrychium acuminatum Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Botrychium ascendens W.H.Wagner,Botrychium ascendens Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Botrychium boreale J.Milde,Botrychium boreale (Fr.) Milde,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Botrychium campestre W.H.Wagner & Farrar,Botrychium campestre Wagner & Farrar,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Botrychium crenulatum W.H.Wagner,Botrychium crenulatum Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Botrychium echo W.H.Wagner,Botrychium echo Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Botrychium hesperium (Maxon & R.T.Clausen) W.H.Wagner & Lellinger,Botrychium hesperium (Maxon & Clausen) Wagner & Lellinger,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Botrychium lanceolatum (S.G.Gmel.) Angstrom,Botrychium lanceolatum (S. G. Gmel.) Ångstr.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Botrychium lanceolatum subsp. angustisegmentum (Pease & A.H.Moore) R.T.Clausen,Botrychium lanceolatum subsp. angustisegmentum (Pease & A. H. Moore) Clausen,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Botrychium montanum W.H.Wagner,Botrychium montanum Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Botrychium mormo W.H.Wagner,Botrychium mormo Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Botrychium pallidum W.H.Wagner,Botrychium pallidum Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Botrychium paradoxum W.H.Wagner,Botrychium paradoxum Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Botrychium pedunculosum W.H.Wagner,Botrychium pedunculosum Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Botrychium pseudopinnatum W.H.Wagner,Botrychium pseudopinnatum Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Botrychium spathulatum W.H.Wagner,Botrychium spathulatum Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Botrychium watertonense W.H.Wagner,Botrychium ×  watertonense W. H. Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Cheilanthes squamosa Gillies & Hook. ex Grev.,Cheilanthes squamosa Gill. ex Hook. & Grev.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Christella conspersa (Schrad.) A.Love & D.Love,Christella conspersa (Schrad.) Á. & D. Löve,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Christella latipinna (Benth.) H.Lev.,Christella latipinna (Benth.) Lév.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Christella papilio (C.Hope) K.Iwats.,Christella papilio (C. Hope) Holttum,accepted,TRUE,1,0,0,NA,NA,NA,https://www.gbif.org/species/7632139,author variant,NA,fuzzy,1,https://www.gbif.org/species/7632139
Crepidomanes walleri (Watts) Tindale,Crepidomanes walleri (Watts) Tind.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Ctenitis crinita (Poir.) Tardieu,Ctenitis crinita (Poir.) Ching,accepted,TRUE,1,0,0,NA,NA,NA,https://www.gbif.org/species/7319377,author variant,NA,fuzzy,1,https://www.gbif.org/species/7319377
Cyathea cunninghamii Hook.f.,Cyathea cunninghamii Hook. fil.,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Cyathea mexicana Schlecht. & Cham.,Cyathea mexicana Schltdl. & Cham.,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Cyathea phalaenolepis (C.Chr.) Domin,Cyathea phalaenolepis (C. Chr.) Domin Domin,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Cyathea planadae N.C.Arens & A.R.Sm.,Cyathea planadae Arens & A. R. Sm.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Davallia beddomei C.Hope,Davallia beddomei Hope,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Davallia epiphylla (G.Forst.) Sw.,Davallia epiphylla (G. Forst.) Spreng.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Dennstaedtia auriculata Navarrete & B.Øllg.,Dennstaedtia auriculata Navarr. & B. Øllg.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
Dennstaedtia werckleana (Christ) Navarrete & B.Øllg.,Dennstaedtia werckleana (Christ) Navarr. & B. Øllg.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,1,NA
