query,matched_name,matched_status,query_match_taxon_agree,use_query_as_synonym,use_query_as_accepted,use_query_as_new,use_match_as_accepted,use_match_as_new,namePublishedIn,nameAccordingTo,taxonRemarks,notes,name_res_status,done
Pyrrosia matsudae (Hayata) Tagawa,Pyrrosia matsudai (Hayata) Tagawa,accepted,FALSE,1,0,0,NA,NA,Journal of Japanese Botany 24(1–12): 119–120. 1949. (J. Jap. Bot.) ,http://www.tropicos.org/Name/50051180,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Pyrrosia nummulariifolia (Sw.) Ching,Pyrrosia nummularifolia (Sw.) Ching,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Sadleria souleytiana (Gaudich.) T.Moore,Sadleria souleyetiana (Gaudich.) T. Moore,accepted,FALSE,0,1,0,NA,NA,Index Filicum 26:. 1857. (Index Fil.) ,http://www.tropicos.org/Name/26602567,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
"Selliguea albipes (C.Chr. & Ching) S.G.Lu, Hovenkamp & M.G.Gilbert","Selliguea albopes (C. Chr. & Ching) S. G. Lu, Hovenkamp & M. G. Gilbert",synonym,FALSE,0,1,0,NA,NA,Flora of China 2–3: 782. 2013. (Fl. China) ,http://www.tropicos.org/Name/100394613,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Serpocaulon meniscifolium (Langsd. & Fisch.) A.R.Sm.,Serpocaulon menisciifolium (Langsd. & Fisch.) A. R. Sm.,accepted,FALSE,1,0,0,NA,NA,Taxon 55(4): 928. 2006. (20 Dec 2006) (Taxon) ,http://www.tropicos.org/Name/50305238,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Sphaerostephanos arbuscula (Willd.) Holttum,Sphaerostephanos arbusculus (Willd.) Holttum,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Sphaerostephanos heterocarpus (Blume) Holttum,Sphaerostephanos heterocarpos (Blume) Holttum,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Stigmatopteris ichthiosma (Sodiro) C.Chr.,Stigmatopteris ichtiosma (Sodiro) C. Chr.,accepted,FALSE,0,1,0,NA,NA,Botanisk Tidsskrift 29: 302. 1909. (Bot. Tidsskr.) ,http://www.tropicos.org/Name/26609468,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Struthiopteris nipponica (Kunze) Nakai,Struthiopteris niponica (Kunze) Nakai,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Tapeinidium denhami (Hook.) C.Chr.,Tapeinidium denhamii (Hook.) C. Chr.,accepted,FALSE,0,1,0,NA,NA,Index Filicum 631. 1906. (Index Filic.) ,http://www.tropicos.org/Name/50181505,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Tectaria antioquoiana (Baker) C.Chr.,Tectaria antioquiana (Baker) C. Chr.,accepted,FALSE,0,1,0,NA,NA,"Index Filicum, Supplementum Tertium 177. 1934. (Index Filic., Suppl. 3,) ",http://www.tropicos.org/Name/26612240,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Tectaria jardini (Mett.) E.D.Br.,Tectaria jardinii (Mett.) E. D. Br.,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Tectaria zeylanica (Houtt.) Sledge,Tectaria zeilanica (Houtt.) Sledge,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Terpsichore aspleniifolia (L.) A.R.Sm.,Terpsichore asplenifolia (L.) A. R. Sm.,accepted,FALSE,1,0,0,NA,NA,"Novon 3(4): 485, 479. 1993. (Novon) ",http://www.tropicos.org/Name/26617203,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Acystopteris taiwaniana (Tagawa) A.Love & D.Love,Acystopteris taiwaniana (Tagawa) Á. & D. Löve,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Adenophorus sarmentosus (Brack.) K.Wilson,Adenophorus sarmentosus (Brack.) K. A. Wilson,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Adiantopsis trifurcata (Baker) M.A.Link-Perez & Hickey,Adiantopsis trifurcata (Baker) Link-Pérez & Hickey,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Adiantum anceps Maxon & C.V.Morton,Adiantum anceps Maxon & Morton,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Adiantum calcareum Gardner,Adiantum calcareum Gaertn.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Adiantum fulvum M.Raoul,Adiantum fulvum Raoul,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Adiantum henslovianum Hook.f.,Adiantum henslovianum Hook. fil.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Adiantum induratum H.Christ,Adiantum induratum Christ,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Adiantum jordanii Muell.Hal.,Adiantum jordanii Müll. Hal.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Adiantum leveillei H.Christ,Adiantum leveillei Christ,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Adiantum madagascariense H.Rosend.,Adiantum madagascariense Rosend.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Adiantum malesianum J.Ghatak,Adiantum malesianum Ghatak,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Adiantum reniforme var. sinense Y.X.Ling,Adiantum reniforme var. sinense Y. X. Lin,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Adiantum silvaticum Tindale,Adiantum silvaticum Tind.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Adiantum tracyi C.C.Hall ex W.H.Wagner,Adiantum ×  tracyi C. C. Hall ex Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Adiantum viridimontanum C.A.Paris,Adiantum viridimontanum Paris,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Aglaomorpha hieronymi (Brause) Coepl.,Aglaomorpha hieronymi (Brause) Copel.,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Aglaomorpha parkinsonii (Baker) Parros & M.C.Roos,Aglaomorpha parkinsonii (Baker) Parris & M. C. Roos,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Alsophila colensoi Hook.f.,Alsophila colensoi Hook. fil.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Alsophila imrayana (Hook.) D.S.Conant,Alsophila imrayana (Hook.) Conant,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Alsophila marcescens (N.A.Wakef.) R.M.Tryon,Alsophila ×  marcescens (N. A. Wakef.) R. M. Tryon,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
"Alsophila orientalis (Kunze) R.M.Tryon, q1970",Alsophila orientalis (Kunze) R. M. Tryon,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Amauropelta cheilanthoides (Kunze) A.Love & D.Love,Amauropelta cheilanthoides (Kunze) Á. & D. Löve,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Amauropelta pilosula (Klotzsch & H.Karst. ex Mett.) Á.Löve & D.Löve,Amauropelta pilosula (Klotzsch & H. Karst. ex Mett.) Á. & D. Löve,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Anemia collina Sm.,Anemia collina Raddi,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Anemia imbricata J.W.Sturm,Anemia imbricata Sturm,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Anemia salvadorensis Mickel & R.L.Seiler,Anemia salvadorensis Mickel & Seiler,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Angiopteris rapensis E.Brown,Angiopteris rapensis E. D. Br.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
"Anisocampium niponicum (Mett.) Y.C.Liu, W.L.Chiou & M.Kato","Anisocampium niponicum (Mett.) Yea C. Liu, W. L. Chiou & M. Kato",accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Arachniodes yasu-inouei Sa.Kurata,Arachniodes yasu-inouei Kurata,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Ascogrammitis clavigera A.R.Sm. & Sundue,Ascogrammitis clavigera A. R. Sm. ex Sundue,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Asplenium antrophyoides H.Christ,Asplenium antrophyoides Christ,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Asplenium celtibericum Rivas Mart.,Asplenium ×  celtibericum Rivas Mart.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Asplenium cuneatiforme H.Christ,Asplenium cuneatiforme Christ,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Asplenium cymbifolium H.Christ,Asplenium cymbifolium Christ,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Asplenium heteroresiliens W.H.Wagner,Asplenium ×  heteroresiliens W. H. Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Asplenium hookerianum Col.,Asplenium hookerianum Wall.,ambiguous synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Asplenium interjectum H.Christ,Asplenium interjectum Christ,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Asplenium komarovii Akas.,Asplenium komarovii Akasawa,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Asplenium milnei Carriere,Asplenium milnei Carruth.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Asplenium minutifolium Kanemitsu & Tagane,Asplenium minutifolium Kanem. & Tagane,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
"Asplenium pifongiae L.-Y. Kuo, F.W.Li & Y.H.Chang","Asplenium pifongiae L. Y. Kuo, Fay W. Li & Y. H. Chang",accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Asplenium pulcherrimum (Baker) Ching ex Tardieu,Asplenium pulcherrimum (Baker) Ching apud Tardieu,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Asplenium quaylei E.Brown,Asplenium quaylei E. D. Br.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Asplenium ruprechtii Sa.Kurata,Asplenium ruprechtii Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Asplenium scolopendropsis J.Sm.,Asplenium scolopendropsis F. Muell.,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Asplenium seelosii Leybold,Asplenium seelosii Leyb.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Asplenium simii A.F.Braithw. & Schelpe,Asplenium simii Braithw. & Schelpe,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
"Asplenium subglandulosum subsp. hispanicum (Coss.) Salvo, Prada & Diaz","Asplenium subglandulosum subsp. hispanicum (Coss.) Salvo, Prada & T. E. Díaz",synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Asplenium wrightioides H.Christ,Asplenium wrightioides Christ,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Asplenium x kitazawae Sa.Kurata & Hutoh,Asplenium ×  kitazawae Kurata & Hutoh,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Astrolepis deltoidea (Baker) J.Beck & Windham,Astrolepis deltoidea (Baker) J. B. Beck & Windham,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Athyrium asplenioides (Michx.) Eaton,Athyrium asplenioides (Michx.) Desv.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Athyrium biserrulatum H.Christ,Athyrium biserrulatum Christ,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Athyrium kenzo-satakei Sa. Kurata,Athyrium kenzo-satakei Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Athyrium newtonii Baker,Athyrium newtonii (Baker) Diels,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Athyrium oblitescens Sa.Kurata,Athyrium oblitescens Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Athyrium pectinatum (Wall. ex Mett.) T.Moore,Athyrium pectinatum (Wall. ex Mett.) Bedd.,ambiguous synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Athyrium setuligerum Sa.Kurata,Athyrium setuligerum Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Athyrium spinescens Sa.Kurata,Athyrium spinescens Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Athyrium viridescentipes Sa.Kurata,Athyrium viridescentipes Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Athyrium x akiense Sa.Kurata,Athyrium ×  akiense Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Athyrium x hisatsuanum Sa.Kurata,Athyrium ×  hisatsuanum Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Athyrium x tokashikii Sa.Kurata,Athyrium ×  tokashikii Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Blechnum vieillardii var. simplex Fourn.,Blechnum vieillardii var. simplex E. Fourn.,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Bolbitis angustipinna (Hayata) H.Ito,Bolbitis angustipinna (Hayata) Itô,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Botrychium acuminatum W.H.Wagner,Botrychium acuminatum Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Botrychium ascendens W.H.Wagner,Botrychium ascendens Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Botrychium boreale J.Milde,Botrychium boreale (Fr.) Milde,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Botrychium campestre W.H.Wagner & Farrar,Botrychium campestre Wagner & Farrar,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Botrychium crenulatum W.H.Wagner,Botrychium crenulatum Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Botrychium echo W.H.Wagner,Botrychium echo Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Botrychium hesperium (Maxon & R.T.Clausen) W.H.Wagner & Lellinger,Botrychium hesperium (Maxon & Clausen) Wagner & Lellinger,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Botrychium lanceolatum (S.G.Gmel.) Angstrom,Botrychium lanceolatum (S. G. Gmel.) Ångstr.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Botrychium lanceolatum subsp. angustisegmentum (Pease & A.H.Moore) R.T.Clausen,Botrychium lanceolatum subsp. angustisegmentum (Pease & A. H. Moore) Clausen,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Botrychium montanum W.H.Wagner,Botrychium montanum Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Botrychium mormo W.H.Wagner,Botrychium mormo Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Botrychium pallidum W.H.Wagner,Botrychium pallidum Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Botrychium paradoxum W.H.Wagner,Botrychium paradoxum Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Botrychium pedunculosum W.H.Wagner,Botrychium pedunculosum Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Botrychium pseudopinnatum W.H.Wagner,Botrychium pseudopinnatum Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Botrychium spathulatum W.H.Wagner,Botrychium spathulatum Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Botrychium watertonense W.H.Wagner,Botrychium ×  watertonense W. H. Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Cheilanthes squamosa Gillies & Hook. ex Grev.,Cheilanthes squamosa Gill. ex Hook. & Grev.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Christella conspersa (Schrad.) A.Love & D.Love,Christella conspersa (Schrad.) Á. & D. Löve,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Christella latipinna (Benth.) H.Lev.,Christella latipinna (Benth.) Lév.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Christella papilio (C.Hope) K.Iwats.,Christella papilio (C. Hope) Holttum,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Crepidomanes walleri (Watts) Tindale,Crepidomanes walleri (Watts) Tind.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Ctenitis crinita (Poir.) Tardieu,Ctenitis crinita (Poir.) Ching,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Cyathea cunninghamii Hook.f.,Cyathea cunninghamii Hook. fil.,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Cyathea mexicana Schlecht. & Cham.,Cyathea mexicana Schltdl. & Cham.,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Cyathea phalaenolepis (C.Chr.) Domin,Cyathea phalaenolepis (C. Chr.) Domin Domin,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Cyathea planadae N.C.Arens & A.R.Sm.,Cyathea planadae Arens & A. R. Sm.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Davallia beddomei C.Hope,Davallia beddomei Hope,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Davallia epiphylla (G.Forst.) Sw.,Davallia epiphylla (G. Forst.) Spreng.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dennstaedtia auriculata Navarrete & B.Øllg.,Dennstaedtia auriculata Navarr. & B. Øllg.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dennstaedtia werckleana (Christ) Navarrete & B.Øllg.,Dennstaedtia werckleana (Christ) Navarr. & B. Øllg.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Deparia florensiae Rakotondr. & Jouy,Deparia florensiae Rakotondr.,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Deparia nakaikeana Fraser-Jenk.,Deparia ×  nakaikeana Fraser-Jenk.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dicksonia blumei (Kunze) Moore,Dicksonia blumei (Kunze) T. Moore,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Diplazium australe (R.Br.) N.A.Wakef.,Diplazium australe (R. Br.) Wakef.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Diplazium griffithii T.Moore,Diplazium griffithii (T. Moore) Diels,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Diplazium proliferum,Diplazium proliferum Brack.,ambiguous synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Diplazium sanderi (C.Chr.) L.Pacheco,Diplazium sanderi (C. Chr.) Pacheco,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Diplazium squamigerum (Mett.) C.Hope,Diplazium squamigerum (Mett.) Christ,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Doryopteris nobilis (T.Moore) C.Chr.,Doryopteris nobilis (T. Moore) J. Sm.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Doryopteris x leitei Tryon,Doryopteris leitei R. M. Tryon,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris basisora,Dryopteris basisora Copel.,ambiguous synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris championii (Benth.) C.Chr. ex Ching,Dryopteris championii (Benth.) C. Chr. apud Ching,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris fatuhivensis E.Brown,Dryopteris fatuhivensis E. D. Br.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
"Dryopteris glabra var. hobdyana (W.H.Wagner) D.D.Palmer, ined.",Dryopteris glabra var. hobdyana (W. H. Wagner) D. D. Palmer,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris hadanoi Sa.Kurata,Dryopteris hadanoi Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris holttumii Li Bing Zhang,Dryopteris ×  holttumii Li Bing Zhang,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris juxtaposita H.Christ,Dryopteris juxtaposita Christ,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris kinokuniensis Sa.Kurata,Dryopteris kinokuniensis Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris lachoongensis (Bedd.) B.K.Nayar & S.Kaur,Dryopteris lachoongensis (Bedd.) B. K. Nayar & Kaur,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris marginalis (L.) A.Gray,Dryopteris marginalis (L.) Gray,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris namegatae (Sa.Kurata) Sa.Kurata,Dryopteris namegatae (Kurata) Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris paleolata (Pic. Serm.) L.B.Zhang,Dryopteris paleolata (Pic. Serm.) Li Bing Zhang,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris panda (C.B.Clarke) H.Christ,Dryopteris panda (C. B. Clarke) C. Chr.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris redactopinnata S.K.Basu & Panigrahi,Dryopteris redactopinnata Basu & Panigrahi,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris ryo-itoana Sa.Kurata,Dryopteris ryo-itoana Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris shibipedis Sa.Kurata,Dryopteris shibipedis Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris shiroumensis Sa.Kurata & T.Nakam.,Dryopteris shiroumensis Kurata & Nakam.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris simasakii (H.Ito) Sa.Kurata,Dryopteris simasakii (H. Itô) Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
"Dryopteris sororia (Maxon) M.McHenry, Sundue & Barrington","Dryopteris sororia (Maxon) M. A. Mc Henry, Sundue & Barrington",accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris subreflexipinna M.Ogata,Dryopteris subreflexipinna Ogata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris tsugiwoi Sa.Kurata,Dryopteris tsugiwoi Kurata,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
"Dryopteris wattsii M. McKeown, Sundue & Barrington","Dryopteris wattsii Mc Keown, Sundue & Barrington",accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Dryopteris yakusilvicola Sa.Kurata,Dryopteris yakusilvicola Kurata,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Elaphoglossum albescens (Sodiro) H.Christ,Elaphoglossum albescens (Sodiro) Christ,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Elaphoglossum amygdalifolium (Mett. ex Kuhn) H.Christ,Elaphoglossum amygdalifolium (Mett. ex Kuhn) Christ,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Elaphoglossum cardenasii W.H. Wagner,Elaphoglossum cardenasii Wagner,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Elaphoglossum peltatum (Sw.) Urban,Elaphoglossum peltatum (Sw.) Urb.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Elaphoglossum peltatum f. flabellatum (Humb. & Bonpl. ex Willd.) Micke,Elaphoglossum peltatum f. flabellatum (Humb. & Bonpl. ex Willd.) Mickel,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Elaphoglossum tovii E.Brown,Elaphoglossum tovii E. D. Br.,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Elaphoglossum vestitum (Schltdl. & Cham.) T.Moore,Elaphoglossum vestitum (Schltdl. & Cham.) Schott,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Equisetum arvense subsp. alpestre (Wahlenb.) Schonswetter & Elven,Equisetum arvense subsp. alpestre (Wahlenb.) Schönsw. & Elven,synonym,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
Equisetum trachyodon (A.Braun) W.D.J.Koch,Equisetum trachyodon (A. Braun) Koch,accepted,TRUE,1,0,0,NA,NA,NA,NA,author variant,NA,fuzzy,0
